year,make,model,condition,transmission,body,color,interior,odometer,mmr,Vacant,sellingprice
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,gray,black,16009,23700,1,22750
2013,Infiniti,G Sedan,4,automatic,G Sedan,silver,black,15260,23800,43,24500
2013,Hyundai,Sonata Hybrid,4.4,automatic,Sedan,silver,gray,9539,15450,43,14900
2013,Infiniti,G Sedan,3.6,automatic,G Sedan,black,black,20976,23100,10,21000
2013,Infiniti,G Sedan,4.6,automatic,G Sedan,black,black,22294,23000,23,24750
2013,Hyundai,Sonata,2,automatic,Sedan,gray,gray,44135,11650,43,8400
2013,Infiniti,G Coupe,4,automatic,G Coupe,gray,black,30556,23900,43,23500
2013,Infiniti,G Sedan,4.1,automatic,G Sedan,white,beige,29731,22100,43,21000
2013,Hyundai,Elantra,1,automatic,Sedan,red,beige,36957,11400,43,9400
2013,Infiniti,G Coupe,4.4,automatic,G Coupe,white,gray,13321,26100,43,26000
2013,Hyundai,Azera,3.6,automatic,Sedan,black,black,6552,21800,29,21400
2013,Hyundai,Sonata Hybrid,4.3,automatic,Sedan,red,beige,22143,17150,43,17100
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,gray,black,23420,22800,43,22250
2013,Hyundai,Accent,2,automatic,Sedan,white,beige,33078,9675,43,7800
2013,Infiniti,G Sedan,3.2,automatic,G Sedan,gray,black,28875,22200,43,21000
2013,Hyundai,Accent,4.9,automatic,Hatchback,gray,black,6747,11300,43,11900
2013,Hyundai,Elantra,4.4,automatic,Sedan,gray,beige,38170,11350,43,11600
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,white,black,23156,23100,43,23000
2013,Hyundai,Sonata,2.8,automatic,Sedan,silver,gray,32387,12400,43,9750
2013,Hyundai,Sonata,4.2,automatic,Sedan,white,beige,40593,11900,23,12000
2013,Infiniti,G Coupe,4.8,automatic,G Coupe,gray,black,13661,26100,43,26500
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,white,black,21557,23100,43,25250
2013,Infiniti,G Sedan,3.8,automatic,G Sedan,gray,black,20067,23300,43,24000
2013,Hyundai,Sonata,3.9,automatic,Sedan,gray,gray,45991,15750,43,17200
2013,Infiniti,G Coupe,4.2,automatic,G Coupe,gray,black,22354,24900,43,25000
2013,Hyundai,Genesis,4.6,automatic,Sedan,silver,black,20952,18650,43,22200
2013,Hyundai,Santa Fe,4.6,automatic,SUV,gray,black,15758,21600,25,21400
2013,Hyundai,Sonata,3.7,automatic,Sedan,black,gray,37154,12400,43,12100
2013,Hyundai,Elantra,2.4,automatic,Sedan,black,gray,35963,11500,38,11500
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,blue,gray,28920,22200,43,23250
2013,Hyundai,Genesis,3,automatic,Sedan,white,beige,19893,18800,43,22500
2013,Hyundai,Elantra,3.8,automatic,Sedan,gray,gray,38594,11350,2,11800
2013,Hyundai,Elantra,4.4,automatic,Sedan,gray,gray,19035,12500,43,12600
2013,Infiniti,G Coupe,4.4,automatic,G Coupe,black,black,16605,25700,43,25500
2013,Infiniti,G Sedan,3.8,automatic,G Sedan,silver,black,28127,22300,32,21500
2013,Hyundai,Santa Fe,4.5,automatic,SUV,gray,black,14076,19800,43,25500
2013,Hyundai,Elantra Coupe,1,automatic,Elantra Coupe,blue,gray,999999,8025,43,2500
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,blue,black,17916,23800,43,24750
2013,Hyundai,Elantra,4.6,automatic,Sedan,gray,beige,42006,11150,27,11300
2013,Hyundai,Equus,4.1,automatic,Sedan,black,black,7755,35500,43,36000
2013,Hyundai,Elantra,4.9,automatic,Sedan,silver,gray,41481,11150,43,11500
2013,Infiniti,G Sedan,3.9,automatic,G Sedan,black,black,22828,22900,43,24500
